,Area Name,Band,Bungalow,Flat,Terraced,Semi-Detached,Detached,Bungalow_%,Flat_%,Terraced_%,Semi-Detached_%,Detached_%,All_Band_%,All_Band_%_except_Flats
30,East Midlands,C,83210.0,13550.0,37960.0,115800.0,111280.0,31.539248758670357,5.63479851956585,8.11909141463832,20.264949337626657,24.606403679462233,18.032898341992684,21.13242329759939
31,East Midlands,D,40230.0,5100.0,12740.0,20080.0,137490.0,15.248455444793995,2.1208466752609474,2.724900543269025,3.5139912150219623,30.401998938616664,10.80203856339252,12.972336535425413
32,East Midlands,E,16620.0,1460.0,3610.0,6580.0,99440.0,6.2995110487814125,0.6071443423296045,0.7721264490738761,1.151497121257197,21.988324783300904,6.163720748948599,7.552864850603347
33,East Midlands,F,6090.0,370.0,1460.0,2870.0,50590.0,2.3083045900769434,0.1538653470287354,0.31227274671685845,0.502248744378139,11.186538121351495,2.892645909910434,3.5773410506308587
34,East Midlands,G,2240.0,110.0,530.0,1310.0,29440.0,0.8490315733616343,0.045743751819353765,0.11335928476707877,0.2292494268764328,6.509817795860605,1.5494403665370209,1.9253645202164376
35,East Midlands,H,60.0,40.0,40.0,100.0,2320.0,0.022741917143615207,0.016634091570674095,0.008555417718270094,0.017499956250109375,0.5130019458694499,0.11568666571042374,0.14044980924536116
36,West Midlands,All,187230.0,393640.0,637910.0,741760.0,439120.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
37,West Midlands,A,34120.0,286530.0,288170.0,117690.0,1710.0,18.223575281739038,72.78985875419166,45.17408411844931,15.866317946505609,0.38941519402441244,30.488650258982005,19.91334813517959
38,West Midlands,B,32440.0,63740.0,243880.0,264550.0,7040.0,17.32628318111414,16.192460115841886,38.23109843081313,35.66517471958585,1.6032064128256511,21.80364457203613,23.206440686084694
39,West Midlands,C,48840.0,24260.0,75490.0,259900.0,63380.0,26.085563211023878,6.162991565897775,11.833957768337227,35.03828731665229,14.43341227910366,18.710842428202966,21.84780514377926
40,West Midlands,D,36500.0,11790.0,19260.0,74770.0,126550.0,19.494739090957648,2.9951224469058024,3.0192346882789107,10.080079810181191,28.81900163964292,12.881635535193293,15.353263807265167
41,West Midlands,E,22250.0,5380.0,7240.0,17280.0,116350.0,11.883779308871443,1.366731023269993,1.1349563418037028,2.3295944779982745,26.496174166514848,8.642247063691652,10.461126073797066
42,West Midlands,F,9270.0,1280.0,2660.0,5050.0,72840.0,4.951129626662394,0.3251702062798496,0.41698672226489636,0.6808132010353753,16.587720896338134,4.592364130516129,5.6591626115752
43,West Midlands,G,3640.0,640.0,1150.0,2370.0,46640.0,1.944132884687283,0.1625851031399248,0.18027621451301906,0.31951035375323555,10.62124248496994,2.6455494082126805,3.2662904844808693
44,West Midlands,H,170.0,30.0,60.0,140.0,4620.0,0.09079741494418629,0.007621176709683975,0.00940571553980969,0.018874029335634167,1.0521042084168337,0.23576050898922957,0.29279534205911595
45,East England,All,355140.0,450610.0,656080.0,584910.0,528010.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
46,East England,A,38050.0,191320.0,86940.0,30170.0,1630.0,10.71408458636031,42.45800137591265,13.251432752103401,5.158058504727223,0.30870627450237687,14.378056698721192,7.358070529423328
47,East England,B,71150.0,142440.0,203830.0,127880.0,6470.0,20.03435264965929,31.610483566720664,31.067857578344103,21.863192627925663,1.225355580386735,21.16024840060729,18.547689609078947
48,East England,C,112190.0,81150.0,230780.0,202400.0,51940.0,31.590358731767754,18.008921240096758,35.175588342885014,34.60361423124925,9.836934906535861,25.843083490506928,27.80162405310947
49,East England,D,73250.0,25510.0,97270.0,143290.0,116670.0,20.625668750351974,5.661214797718648,14.825935861480307,24.497785984168505,22.096172420976874,17.54135556293926,20.511390754244413
50,East England,E,38060.0,6580.0,26200.0,59750.0,146620.0,10.716900377315989,1.4602427820066133,3.993415437141812,10.21524679010446,27.76841347701748,10.83084377271727,13.173494020394934
51,East England,F,15680.0,2200.0,7900.0,16440.0,108180.0,4.415160218505378,0.488227069971816,1.2041214486038287,2.810688823921629,20.48824832863014,5.881289177926559,7.229554704915244
52,East England,G,6450.0,1280.0,2990.0,4750.0,84790.0,1.8161851664132453,0.2840593861654202,0.4557371052310694,0.8120907490041203,16.058407984697258,3.885296078302223,4.785605251336423
53,East England,H,310.0,140.0,170.0,240.0,11700.0,0.08728951962606296,0.031068995361842836,0.025911474210462138,0.04103195363389239,2.2158671237287173,0.4802338133121955,0.5925250177997837
54,Greater London,All,57410.0,1899810.0,929200.0,465310.0,130320.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
55,Greater London,A,560.0,122420.0,1820.0,1140.0,50.0,0.9754398188468908,6.443802274964339,0.19586741282823936,0.2449979583503471,0.0383670963781461,1.5796949122735924,0.3636680716009058
56,Greater London,B,2180.0,458210.0,5840.0,1550.0,120.0,3.7972478662253963,24.11872766223991,0.6284976323719329,0.3331112591605596,0.09208103130755065,5.79393309026107,1.21273444726636
57,Greater London,C,5310.0,660240.0,246990.0,30660.0,950.0,9.249259710851767,34.75294897910844,26.580929832113647,6.589155616685651,0.7289748311847759,15.580253793988854,10.787079997708961
58,Greater London,D,16590.0,344880.0,383040.0,141550.0,4690.0,28.897404633339143,18.153394286797102,41.22255703831253,30.42057982850143,3.598833640270104,24.45855388544406,26.034843785105803
59,Greater London,E,20850.0,161030.0,158730.0,168860.0,15070.0,36.317714683852984,8.476110768971633,17.082436504520018,36.289785304420704,11.563842848373234,21.945978022027713,25.313444835291733
60,Greater London,F,8770.0,75050.0,66290.0,78400.0,34300.0,15.276084305870057,3.95039503950395,7.134093844167025,16.848982398830888,26.319828115408228,13.905876740756032,16.39474716606905
61,Greater London,G,2940.0,59100.0,48540.0,36730.0,58490.0,5.121059048946177,3.1108373995294265,5.223848471803702,7.893662289656358,44.88182934315531,13.246247310618196,15.780099788390388
62,Greater London,H,220.0,18870.0,17940.0,6430.0,16650.0,0.3832085002612785,0.993257220458888,1.9306930693069306,1.38187444929187,12.776243093922652,3.493055266648324,4.118004778195683
63,South East,All,393070.0,824390.0,926110.0,819780.0,776110.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
64,South East,A,12410.0,258910.0,19360.0,6070.0,830.0,3.157198463378024,31.406251895340798,2.090464415674164,0.7404425577593988,0.10694360335519448,7.500260187101517,1.5237622600416951
65,South East,B,33360.0,280310.0,247410.0,65200.0,2280.0,8.48703793217493,34.00211065151203,26.714969064150047,7.9533533387006266,0.29377278993957046,15.49024875529544,10.862283281241295
66,South East,C,89940.0,189690.0,401840.0,281810.0,16290.0,22.881420612104712,23.009740535426193,43.390094049302995,34.376296079435946,2.098929275489299,25.15129611035183,25.686685004083238
67,South East,D,119320.0,64880.0,178750.0,303120.0,95930.0,30.35591624901417,7.8700615000181955,19.301162928809752,36.97577398814316,12.36036128899254,21.372655190995566,24.748303613739903
68,South East,E,83170.0,19830.0,54670.0,121220.0,219180.0,21.159081079705906,2.4054149128446487,5.903186446534429,14.786894044743711,28.24084214866449,14.499083726498636,17.522500929912134
69,South East,F,37430.0,7090.0,16060.0,29800.0,209810.0,9.522476912509223,0.8600298402455149,1.7341352539115225,3.635121617995072,27.03353906018477,8.557060536969221,10.481318211150146
70,South East,G,16640.0,3380.0,7520.0,11490.0,199930.0,4.233342661612435,0.41000012130181107,0.8119985746833529,1.4015955500256165,25.760523637113298,6.523492108947304,8.051865105858676
71,South East,H,800.0,290.0,510.0,1070.0,31860.0,0.20352608950059786,0.03517752520045125,0.05506905227240825,0.13052282319646735,4.105088196260839,0.9058767372861528,1.1235515403075782
72,South West,All,326540.0,483540.0,622770.0,520860.0,481020.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
73,South West,A,27510.0,267640.0,76070.0,32660.0,2200.0,8.424695290010412,55.35012615295529,12.214782343401255,6.270398955573475,0.4573614402727537,16.543472836442636,6.841809507314474
74,South West,B,40350.0,119040.0,304420.0,131650.0,6470.0,12.35683224107307,24.6184390122844,48.88160958299211,25.27550589409822,1.3450584175294167,22.49548902959544,21.964751533923206
75,South West,C,86900.0,51610.0,163110.0,228080.0,39120.0,26.612359894653025,10.673367249865574,26.19104966520545,43.78911799715854,8.132717974304603,23.079722556237435,26.181311382830405
76,South West,D,97030.0,27110.0,50010.0,87910.0,127200.0,29.714583205732836,5.606568225999918,8.03025193891806,16.877855853780286,26.44380691031558,17.334613226949337,20.26662447718669
77,South West,E,52300.0,11580.0,19010.0,26010.0,148850.0,16.01641452808232,2.3948380692393596,3.0524912889188625,4.993664324386591,30.944659265726997,11.480413495270826,13.751807351778693
78,South West,F,17260.0,4220.0,6910.0,9760.0,92050.0,5.2857230354627305,0.8727302808454317,1.1095589061772404,1.8738240602081173,19.136418444139537,5.655650945366611,6.851381111496906
79,South West,G,5030.0,2090.0,3050.0,4500.0,58930.0,1.5403932136951062,0.4322289779542541,0.4897474187902435,0.8639557654648081,12.251049852396989,3.11547504566028,3.7862865625867865
80,South West,H,170.0,270.0,200.0,300.0,6200.0,0.05206100324615667,0.05583819332423377,0.032114584838704496,0.057597051030987216,1.2889276953141242,0.2973077055508413,0.35767508360749317
