,postal_code,postal_code_trimmed,state,postal_code_prefix,uk_region,postal_code_district
200,HS8,HS,Scotland,HS,Scotland,Comhairle nan Eilean Siar
201,YO23,YO,England,YO,Yorkshire and the Humber,York
202,YO19,YO,England,YO,Yorkshire and the Humber,York
203,YO23,YO,England,YO,Yorkshire and the Humber,York
204,YO8,YO,England,YO,Yorkshire and the Humber,York
205,BB5,BB,England,BB,North West,Blackburn
206,PA31,PA,Scotland,PA,Scotland,Paisley
207,KW12,KW,Scotland,KW,Scotland,Kirkwall
208,IV22,IV,Scotland,IV,Scotland,Inverness
209,IV17,IV,Scotland,IV,Scotland,Inverness
210,IV27,IV,Scotland,IV,Scotland,Inverness
211,PH36,PH,Scotland,PH,Scotland,Perth
212,PA38,PA,Scotland,PA,Scotland,Paisley
213,PH15,PH,Scotland,PH,Scotland,Perth
214,IV25,IV,Scotland,IV,Scotland,Inverness
215,KW5,KW,Scotland,KW,Scotland,Kirkwall
216,KW14,KW,Scotland,KW,Scotland,Kirkwall
217,IV26,IV,Scotland,IV,Scotland,Inverness
218,PH20,PH,Scotland,PH,Scotland,Perth
219,IV27,IV,Scotland,IV,Scotland,Inverness
220,KW14,KW,Scotland,KW,Scotland,Kirkwall
221,KW12,KW,Scotland,KW,Scotland,Kirkwall
222,IV26,IV,Scotland,IV,Scotland,Inverness
223,IV27,IV,Scotland,IV,Scotland,Inverness
224,KW12,KW,Scotland,KW,Scotland,Kirkwall
225,PA28,PA,Scotland,PA,Scotland,Paisley
226,IV54,IV,Scotland,IV,Scotland,Inverness
227,PH33,PH,Scotland,PH,Scotland,Perth
228,PH33,PH,Scotland,PH,Scotland,Perth
229,IV54,IV,Scotland,IV,Scotland,Inverness
230,KW5,KW,Scotland,KW,Scotland,Kirkwall
231,PH21,PH,Scotland,PH,Scotland,Perth
232,PA35,PA,Scotland,PA,Scotland,Paisley
233,PH31,PH,Scotland,PH,Scotland,Perth
234,PA35,PA,Scotland,PA,Scotland,Paisley
235,IV27,IV,Scotland,IV,Scotland,Inverness
236,IV27,IV,Scotland,IV,Scotland,Inverness
237,HS2,HS,Scotland,HS,Scotland,Comhairle nan Eilean Siar
238,IV23,IV,Scotland,IV,Scotland,Inverness
239,IV53,IV,Scotland,IV,Scotland,Inverness
240,IV54,IV,Scotland,IV,Scotland,Inverness
241,PA31,PA,Scotland,PA,Scotland,Paisley
242,IV27,IV,Scotland,IV,Scotland,Inverness
243,PH33,PH,Scotland,PH,Scotland,Perth
244,IV46,IV,Scotland,IV,Scotland,Inverness
245,IV63,IV,Scotland,IV,Scotland,Inverness
246,PA34,PA,Scotland,PA,Scotland,Paisley
247,IV5,IV,Scotland,IV,Scotland,Inverness
248,IV18,IV,Scotland,IV,Scotland,Inverness
249,IV26,IV,Scotland,IV,Scotland,Inverness
250,PH36,PH,Scotland,PH,Scotland,Perth
251,PA70,PA,Scotland,PA,Scotland,Paisley
252,PA31,PA,Scotland,PA,Scotland,Paisley
253,PH33,PH,Scotland,PH,Scotland,Perth
254,IV22,IV,Scotland,IV,Scotland,Inverness
255,PA31,PA,Scotland,PA,Scotland,Paisley
256,IV27,IV,Scotland,IV,Scotland,Inverness
257,PH36,PH,Scotland,PH,Scotland,Perth
258,KW3,KW,Scotland,KW,Scotland,Kirkwall
259,KW5,KW,Scotland,KW,Scotland,Kirkwall
260,KW14,KW,Scotland,KW,Scotland,Kirkwall
261,PH33,PH,Scotland,PH,Scotland,Perth
262,IV27,IV,Scotland,IV,Scotland,Inverness
263,KW9,KW,Scotland,KW,Scotland,Kirkwall
264,KW3,KW,Scotland,KW,Scotland,Kirkwall
265,KW5,KW,Scotland,KW,Scotland,Kirkwall
266,IV14,IV,Scotland,IV,Scotland,Inverness
267,NN14,NN,England,NN,West Midlands,Northampton
268,KW14,KW,Scotland,KW,Scotland,Kirkwall
269,IV2,IV,Scotland,IV,Scotland,Inverness
270,IV26,IV,Scotland,IV,Scotland,Inverness
271,IV27,IV,Scotland,IV,Scotland,Inverness
272,LA7,LA,England,LA,North West,Lancaster
273,KW1,KW,Scotland,KW,Scotland,Kirkwall
274,CW12,CW,England,CW,North West,Crewe
275,YO17,YO,England,YO,Yorkshire and the Humber,York
276,WV15,WV,England,WV,West Midlands,Wolverhampton
277,NE61,NE,England,NE,North East,Newcastle
278,NE65,NE,England,NE,North East,Newcastle
279,WF6,WF,England,WF,Yorkshire and the Humber,Wakefield
280,WF7,WF,England,WF,Yorkshire and the Humber,Wakefield
281,WF7,WF,England,WF,Yorkshire and the Humber,Wakefield
282,NR13,NR,England,NR,East of England,Norwich
283,CT12,CT,England,CT,South East,Canterbury
284,CT7,CT,England,CT,South East,Canterbury
285,NE46,NE,England,NE,North East,Newcastle
286,HR2,HR,England,HR,West Midlands,Hereford
287,LL14,LL,Wales,LL,Wales,Llandudno
288,DE12,DE,England,DE,East Midlands,Derby
289,CT15,CT,England,CT,South East,Canterbury
290,CT18,CT,England,CT,South East,Canterbury
291,CT4,CT,England,CT,South East,Canterbury
